id,resource_uri,created,name,pp,accuracy,description,modified,power,category
23,/api/v1/move/23/,2013-11-03T15:06:09.544102,Stomp,20,100,"Inflicts regular damage.  Has a 30% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",2013-12-24T15:24:29.773223,65,
24,/api/v1/move/24/,2013-11-03T15:06:09.546567,Double-kick,30,100,Inflicts regular damage.  Hits twice in one turn.,2013-12-24T15:24:29.778247,30,
25,/api/v1/move/25/,2013-11-03T15:06:09.548997,Mega-kick,5,75,Inflicts regular damage.,2013-12-24T15:24:29.783580,120,
26,/api/v1/move/26/,2013-11-03T15:06:09.551595,Jump-kick,10,95,"Inflicts regular damage.  If this move misses, is blocked by protect or detect, or has no effect, the user takes half the damage it would have inflicted in recoil.  This recoil damage will not exceed half the user's max HP.

This move cannot be used while gravity is in effect.",2013-12-24T15:24:29.789200,100,
27,/api/v1/move/27/,2013-11-03T15:06:09.553955,Rolling-kick,15,85,Inflicts regular damage.  Has a 30% chance to make the target flinch.,2013-12-24T15:24:29.794725,60,
28,/api/v1/move/28/,2013-11-03T15:06:09.559945,Sand-attack,15,100,Lowers the target's accuracy by one stage.,2013-12-24T15:24:29.800338,0,
29,/api/v1/move/29/,2013-11-03T15:06:09.562406,Headbutt,15,100,Inflicts regular damage.  Has a 30% chance to make the target flinch.,2013-12-24T15:24:29.805865,70,
30,/api/v1/move/30/,2013-11-03T15:06:09.564645,Horn-attack,25,100,Inflicts regular damage.,2013-12-24T15:24:29.811337,65,
31,/api/v1/move/31/,2013-11-03T15:06:09.566867,Fury-attack,20,85,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",2013-12-24T15:24:29.816909,15,
32,/api/v1/move/32/,2013-11-03T15:06:09.569516,Horn-drill,5,30,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock-on, mind-reader, and no-guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",2013-12-24T15:24:29.822444,1,
33,/api/v1/move/33/,2013-11-03T15:06:09.572521,Tackle,35,100,Inflicts regular damage.,2013-12-24T15:24:29.827942,50,
34,/api/v1/move/34/,2013-11-03T15:06:09.574880,Body-slam,15,100,Inflicts regular damage.  Has a 30% chance to paralyze the target.,2013-12-24T15:24:29.833455,85,
35,/api/v1/move/35/,2013-11-03T15:06:09.577044,Wrap,20,90,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid-spin cancels this effect.",2013-12-24T15:24:29.839108,15,
36,/api/v1/move/36/,2013-11-03T15:06:09.582672,Take-down,20,85,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,2013-12-24T15:24:29.844652,90,
37,/api/v1/move/37/,2013-11-03T15:06:09.585205,Thrash,10,100,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",2013-12-24T15:24:29.849990,120,
38,/api/v1/move/38/,2013-11-03T15:06:09.587662,Double-edge,15,100,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,2013-12-24T15:24:29.856435,120,
39,/api/v1/move/39/,2013-11-03T15:06:09.589975,Tail-whip,30,100,Lowers the target's Defense by one stage.,2013-12-24T15:24:29.868930,0,
40,/api/v1/move/40/,2013-11-03T15:06:09.592218,Poison-sting,35,100,Inflicts regular damage.  Has a 30% chance to poison the target.,2013-12-24T15:24:29.874508,15,
41,/api/v1/move/41/,2013-11-03T15:06:09.594384,Twineedle,20,100,Inflicts regular damage.  Hits twice in the same turn.  Has a 20% chance to poison the target.,2013-12-24T15:24:29.880146,25,
42,/api/v1/move/42/,2013-11-03T15:06:09.596628,Pin-missile,20,85,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",2013-12-24T15:24:29.885511,14,
43,/api/v1/move/43/,2013-11-03T15:06:09.598668,Leer,30,100,Lowers the target's Defense by one stage.,2013-12-24T15:24:29.891994,0,
44,/api/v1/move/44/,2013-11-03T15:06:09.601096,Bite,25,100,Inflicts regular damage.  Has a 30% chance to make the target flinch.,2013-12-24T15:24:29.897785,60,
45,/api/v1/move/45/,2013-11-03T15:06:09.606645,Growl,40,100,Lowers the target's Attack by one stage.,2013-12-24T15:24:29.903451,0,
46,/api/v1/move/46/,2013-11-03T15:06:09.609244,Roar,20,100,"Switch the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with suction-cups or under the effect of ingrain.",2013-12-24T15:24:29.909016,0,
47,/api/v1/move/47/,2013-11-03T15:06:09.611726,Sing,15,55,Puts the target to sleep.,2013-12-24T15:24:29.914662,0,
48,/api/v1/move/48/,2013-11-03T15:06:09.614086,Supersonic,20,55,Confuse the target.,2013-12-24T15:24:29.920229,0,
49,/api/v1/move/49/,2013-11-03T15:06:09.616236,Sonicboom,20,90,Inflicts exactly 20 damage.,2013-12-24T15:24:29.926023,1,
50,/api/v1/move/50/,2013-11-03T15:06:09.618455,Disable,20,100,"Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail.",2013-12-24T15:24:29.931889,0,
51,/api/v1/move/51/,2013-11-03T15:06:09.620709,Acid,30,100,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.,2013-12-24T15:24:29.940763,40,
52,/api/v1/move/52/,2013-11-03T15:06:09.622946,Ember,25,100,Inflicts regular damage.  Has a 10% chance to burn the target.,2013-12-24T15:24:29.949769,40,
53,/api/v1/move/53/,2013-11-03T15:06:09.625020,Flamethrower,15,100,Inflicts regular damage.  Has a 10% chance to burn the target.,2013-12-24T15:24:29.958924,95,
54,/api/v1/move/54/,2013-11-03T15:06:09.627115,Mist,30,0,"Pokémon on the user's side of the field are immune to stat-lowering effects for five turns.

guard-swap, heart-swap, and power-swap may still be used.

defog used by an opponent will end this effect.",2013-12-24T15:24:29.967516,0,
55,/api/v1/move/55/,2013-11-03T15:06:09.629373,Water-gun,25,100,Inflicts regular damage.,2013-12-24T15:24:29.973831,40,
56,/api/v1/move/56/,2013-11-03T15:06:09.631657,Hydro-pump,5,80,Inflicts regular damage.,2013-12-24T15:24:29.979986,120,
57,/api/v1/move/57/,2013-11-03T15:06:09.633754,Surf,15,100,"Inflicts regular damage.

If the target is in the first turn of dive, this move will hit with double power.",2013-12-24T15:24:29.987907,95,
58,/api/v1/move/58/,2013-11-03T15:06:09.635898,Ice-beam,10,100,Inflicts regular damage.  Has a 10% chance to freeze the target.,2013-12-24T15:24:29.993142,95,
59,/api/v1/move/59/,2013-11-03T15:06:09.638020,Blizzard,5,70,"Inflicts regular damage.  Has a 10% chance to freeze the target.

During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.",2013-12-24T15:24:30.000827,120,
60,/api/v1/move/60/,2013-11-03T15:06:09.640257,Psybeam,20,100,Inflicts regular damage.  Has a 10% chance to confuse the target.,2013-12-24T15:24:30.005914,65,
61,/api/v1/move/61/,2013-11-03T15:06:09.642394,Bubblebeam,20,100,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.,2013-12-24T15:24:30.011626,65,
62,/api/v1/move/62/,2013-11-03T15:06:09.644434,Aurora-beam,20,100,Inflicts regular damage.  Has a 10% chance to lower the target's Attack by one stage.,2013-12-24T15:24:30.017382,65,
63,/api/v1/move/63/,2013-11-03T15:06:09.646586,Hyper-beam,5,90,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",2013-12-24T15:24:30.023641,150,
64,/api/v1/move/64/,2013-11-03T15:06:09.648661,Peck,35,100,Inflicts regular damage.,2013-12-24T15:24:30.029750,35,
65,/api/v1/move/65/,2013-11-03T15:06:09.650844,Drill-peck,20,100,Inflicts regular damage.,2013-12-24T15:24:30.035639,80,
66,/api/v1/move/66/,2013-11-03T15:06:09.653031,Submission,25,80,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,2013-12-24T15:24:30.041607,80,
67,/api/v1/move/67/,2013-11-03T15:06:09.655244,Low-kick,20,100,"Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.

Target's weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
",2013-12-24T15:24:30.048164,1,
68,/api/v1/move/68/,2013-11-03T15:06:09.657550,Counter,20,100,"Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror-move, nor selected by assist or metronome.",2013-12-24T15:24:30.053190,1,
69,/api/v1/move/69/,2013-11-03T15:06:09.659802,Seismic-toss,20,100,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored.",2013-12-24T15:24:30.058876,1,
70,/api/v1/move/70/,2013-11-03T15:06:09.661839,Strength,15,100,Inflicts regular damage.,2013-12-24T15:24:30.064072,80,
71,/api/v1/move/71/,2013-11-03T15:06:09.663856,Absorb,25,100,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,2013-12-24T15:24:30.069625,20,
72,/api/v1/move/72/,2013-11-03T15:06:09.666166,Mega-drain,15,100,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,2013-12-24T15:24:30.075687,40,
73,/api/v1/move/73/,2013-11-03T15:06:09.668512,Leech-seed,10,90,"Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has liquid-ooze.

rapid-spin will remove this effect.

This effect is passed on by baton-pass.",2013-12-24T15:24:30.082939,0,
74,/api/v1/move/74/,2013-11-03T15:06:09.670673,Growth,40,0,"Raises the user's Attack and Special Attack by one stage each.  During sunny-day, raises both stats by two stages.",2013-12-24T15:24:30.089834,0,
75,/api/v1/move/75/,2013-11-03T15:06:09.672929,Razor-leaf,25,95,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,2013-12-24T15:24:30.100469,55,
76,/api/v1/move/76/,2013-11-03T15:06:09.675825,Solarbeam,10,100,"Inflicts regular damage.  User charges for one turn before attacking.

During sunny-day, the charge turn is skipped.

During hail, rain-dance, or sandstorm, power is halved.

This move cannot be selected by sleep-talk.",2013-12-24T15:24:30.106793,120,
77,/api/v1/move/77/,2013-11-03T15:06:09.679197,Poisonpowder,35,75,Poisons the target.,2013-12-24T15:24:30.112318,0,
78,/api/v1/move/78/,2013-11-03T15:06:09.681876,Stun-spore,30,75,Paralyzes the target.,2013-12-24T15:24:30.117993,0,
79,/api/v1/move/79/,2013-11-03T15:06:09.685765,Sleep-powder,15,75,Puts the target to sleep.,2013-12-24T15:24:30.123353,0,
80,/api/v1/move/80/,2013-11-03T15:06:09.689553,Petal-dance,10,100,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",2013-12-24T15:24:30.128919,120,
81,/api/v1/move/81/,2013-11-03T15:06:09.692851,String-shot,40,95,Lowers the target's Speed by one stage.,2013-12-24T15:24:30.134353,0,
82,/api/v1/move/82/,2013-11-03T15:06:09.696898,Dragon-rage,10,100,Inflicts exactly 40 damage.,2013-12-24T15:24:30.140046,1,
83,/api/v1/move/83/,2013-11-03T15:06:09.700168,Fire-spin,15,85,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid-spin cancels this effect.",2013-12-24T15:24:30.145557,35,
84,/api/v1/move/84/,2013-11-03T15:06:09.703325,Thundershock,30,100,Inflicts regular damage.  Has a 10% chance to paralyze the target.,2013-12-24T15:24:30.151055,40,
85,/api/v1/move/85/,2013-11-03T15:06:09.714336,Thunderbolt,15,100,Inflicts regular damage.  Has a 10% chance to paralyze the target.,2013-12-24T15:24:30.156811,95,
86,/api/v1/move/86/,2013-11-03T15:06:09.718827,Thunder-wave,20,100,Paralyzes the target.,2013-12-24T15:24:30.162507,0,
87,/api/v1/move/87/,2013-11-03T15:06:09.721382,Thunder,10,70,"Inflicts regular damage.  Has a 30% chance to paralyze the target.

During rain-dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.

During sunny-day, this move has 50% accuracy.",2013-12-24T15:24:30.168305,120,
88,/api/v1/move/88/,2013-11-03T15:06:09.723783,Rock-throw,15,90,Inflicts regular damage.,2013-12-24T15:24:30.173085,50,
89,/api/v1/move/89/,2013-11-03T15:06:09.725886,Earthquake,10,100,"Inflicts regular damage.

If the target is in the first turn of dig, this move will hit with double power.",2013-12-24T15:24:30.179121,100,
90,/api/v1/move/90/,2013-11-03T15:06:09.728112,Fissure,5,30,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock-on, mind-reader, and no-guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",2013-12-24T15:24:30.184116,1,
91,/api/v1/move/91/,2013-11-03T15:06:09.730108,Dig,10,100,"Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock-on, mind-reader, or no-guard.

This move cannot be selected by sleep-talk.",2013-12-24T15:24:30.190762,80,
92,/api/v1/move/92/,2013-11-03T15:06:09.732047,Toxic,10,90,Badly poisons the target.  Never misses when used by a poison-type Pokémon.,2013-12-24T15:24:30.195386,0,
93,/api/v1/move/93/,2013-11-03T15:06:09.733952,Confusion,25,100,Inflicts regular damage.  Has a 10% chance to confuse the target.,2013-12-24T15:24:30.201150,50,
94,/api/v1/move/94/,2013-11-03T15:06:09.736131,Psychic,10,100,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.,2013-12-24T15:24:30.206746,90,
95,/api/v1/move/95/,2013-11-03T15:06:09.738332,Hypnosis,20,60,Puts the target to sleep.,2013-12-24T15:24:30.213396,0,
96,/api/v1/move/96/,2013-11-03T15:06:09.740374,Meditate,40,0,Raises the user's Attack by one stage.,2013-12-24T15:24:30.219018,0,
97,/api/v1/move/97/,2013-11-03T15:06:09.742482,Agility,30,0,Raises the user's Speed by two stages.,2013-12-24T15:24:30.224642,0,
98,/api/v1/move/98/,2013-11-03T15:06:09.744493,Quick-attack,30,100,Inflicts regular damage.,2013-12-24T15:24:30.230558,40,
99,/api/v1/move/99/,2013-11-03T15:06:09.746633,Rage,20,100,"Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage.",2013-12-24T15:24:30.236013,20,
100,/api/v1/move/100/,2013-11-03T15:06:09.748774,Teleport,20,0,Does nothing.  Wild battles end immediately.,2013-12-24T15:24:30.242335,0,
101,/api/v1/move/101/,2013-11-03T15:06:09.755702,Night-shade,15,100,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored.",2013-12-24T15:24:30.250062,1,
102,/api/v1/move/102/,2013-11-03T15:06:09.758043,Mimic,10,0,"This move is replaced by the target's last successfully used move, and its PP changes to 5.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.

If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.

This move cannot be copied by mirror-move, nor selected by assist or metronome, nor forced by encore.",2013-12-24T15:24:30.255822,0,
103,/api/v1/move/103/,2013-11-03T15:06:09.760928,Screech,40,85,Lowers the target's Defense by two stages.,2013-12-24T15:24:30.261438,0,
104,/api/v1/move/104/,2013-11-03T15:06:09.763233,Double-team,15,0,Raises the user's evasion by one stage.,2013-12-24T15:24:30.267461,0,
105,/api/v1/move/105/,2013-11-03T15:06:09.765623,Recover,10,0,Heals the user for half its max HP.,2013-12-24T15:24:30.273340,0,
106,/api/v1/move/106/,2013-11-03T15:06:09.768123,Harden,30,0,Raises the user's Defense by one stage.,2013-12-24T15:24:30.279010,0,
107,/api/v1/move/107/,2013-11-03T15:06:09.770361,Minimize,20,0,"Raises the user's evasion by two stages.

stomp and steamroller have double power against Pokémon that have used this move since entering the field.",2013-12-24T15:24:30.285103,0,
108,/api/v1/move/108/,2013-11-03T15:06:09.772832,Smokescreen,20,100,Lowers the target's accuracy by one stage.,2013-12-24T15:24:30.298162,0,
109,/api/v1/move/109/,2013-11-03T15:06:09.778566,Confuse-ray,10,100,Confuse the target.,2013-12-24T15:24:30.304034,0,
110,/api/v1/move/110/,2013-11-03T15:06:09.781160,Withdraw,40,0,Raises the user's Defense by one stage.,2013-12-24T15:24:30.309550,0,
111,/api/v1/move/111/,2013-11-03T15:06:09.783738,Defense-curl,40,0,"Raises user's Defense by one stage.

After this move is used, the power of ice-ball and rollout are doubled until the user leaves the field.",2013-12-24T15:24:30.315772,0,
112,/api/v1/move/112/,2013-11-03T15:06:09.786407,Barrier,30,0,Raises the user's Defense by two stages.,2013-12-24T15:24:30.320815,0,
113,/api/v1/move/113/,2013-11-03T15:06:09.788737,Light-screen,30,0,"Erects a barrier around the user's side of the field that reduces damage from special attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hit are not affected by the barrier.

If the user is holding light-clay, the barrier lasts for eight turns.

brick-break or defog used by an opponent will destroy the barrier.",2013-12-24T15:24:30.326178,0,
114,/api/v1/move/114/,2013-11-03T15:06:09.790948,Haze,30,0,"Removes stat, accuracy, and evasion modifiers from every Pokémon on the field.

This does not count as a stat reduction for the purposes of clear-body or white-smoke.",2013-12-24T15:24:30.331817,0,
115,/api/v1/move/115/,2013-11-03T15:06:09.793068,Reflect,20,0,"Erects a barrier around the user's side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hit are not affected by the barrier.

If the user is holding light-clay, the barrier lasts for eight turns.

brick-break or defog used by an opponent will destroy the barrier.",2013-12-24T15:24:30.337808,0,
116,/api/v1/move/116/,2013-11-03T15:06:09.795292,Focus-energy,30,0,"User's critical hit rate is two levels higher until it leaves the field.  If the user has already used focus-energy since entering the field, this move will fail.

This effect is passed on by baton-pass.",2013-12-24T15:24:30.343314,0,
117,/api/v1/move/117/,2013-11-03T15:06:09.802614,Bide,10,0,"User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is typeless.

This move cannot be selected by sleep-talk.",2013-12-24T15:24:30.348860,1,
118,/api/v1/move/118/,2013-11-03T15:06:09.805332,Metronome,10,0,"Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny-bond, detect, endure, feint, focus-punch, follow-me, helping-hand, me-first, metronome, mimic, mirror-coat, mirror-move, protect, quick-guard, sketch, sleep-talk, snatch, struggle, switcheroo, thief, trick, and wide-guard will not be selected by this move.

This move cannot be copied by mimic or mirror-move, nor selected by assist, metronome, or sleep-talk.",2013-12-24T15:24:30.354576,0,
119,/api/v1/move/119/,2013-11-03T15:06:09.807871,Mirror-move,20,0,"Uses the last move targeted at the user by a Pokémon still on the field.  A move counts as targeting the user even if it hit multiple Pokémon, as long as the user was one of them; however, moves targeting the field itself do not count.  If the user has not been targeted by an appropriate move since entering the field, or if no Pokémon that targeted the user remains on the field, this move will fail.

Moves that fail, miss, had no effect, or were block are still copied.

Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pokémon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: acupressure, assist, chatter, copycat, counter, curse, doom-desire, feint, focus-punch, future-sight, helping-hand, magic-coat, me-first, metronome, mimic, mirror-coat, mirror-move, nature-power, perish-song, psych-up, role-play, sketch, sleep-talk, snatch, spit-up, struggle, and transform.

This move cannot be selected by assist, metronome, or sleep-talk, nor forced by encore.",2013-12-24T15:24:30.359766,0,
120,/api/v1/move/120/,2013-11-03T15:06:09.810628,Selfdestruct,5,100,"User faint, even if the attack fail or miss.  Inflicts regular damage.",2013-12-24T15:24:30.365200,200,
121,/api/v1/move/121/,2013-11-03T15:06:09.812918,Egg-bomb,10,75,Inflicts regular damage.,2013-12-24T15:24:30.370697,100,
122,/api/v1/move/122/,2013-11-03T15:06:09.815030,Lick,30,100,Inflicts regular damage.  Has a 30% chance to paralyze the target.,2013-12-24T15:24:30.376123,20,
123,/api/v1/move/123/,2013-11-03T15:06:09.817091,Smog,20,70,Inflicts regular damage.  Has a 40% chance to poison the target.,2013-12-24T15:24:30.381690,20,
124,/api/v1/move/124/,2013-11-03T15:06:09.819156,Sludge,20,100,Inflicts regular damage.  Has a 30% chance to poison the target.,2013-12-24T15:24:30.387235,65,
125,/api/v1/move/125/,2013-11-03T15:06:09.821212,Bone-club,20,85,Inflicts regular damage.  Has a 10% chance to make the target flinch.,2013-12-24T15:24:30.392779,65,
126,/api/v1/move/126/,2013-11-03T15:06:09.823376,Fire-blast,5,85,Inflicts regular damage.  Has a 10% chance to burn the target.,2013-12-24T15:24:30.398142,120,
127,/api/v1/move/127/,2013-11-03T15:06:09.825412,Waterfall,15,100,Inflicts regular damage.  Has a 20% chance to make the target flinch.,2013-12-24T15:24:30.403792,80,
128,/api/v1/move/128/,2013-11-03T15:06:09.827503,Clamp,15,85,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid-spin cancels this effect.",2013-12-24T15:24:30.409338,35,
129,/api/v1/move/129/,2013-11-03T15:06:09.829596,Swift,20,0,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,2013-12-24T15:24:30.414855,60,
